Images,Posted-by,air-conditioning,balcony,bathrooms,bedrooms,dishwasher,fridge,furnished,heat_added,hydro_added,lat,laundry_in_building,laundry_in_unit,location,long,move-in-date,parking,pet_limited,pet_yes,postal_code,price,product-link-href,size,smoking_outdoors,smoking_yes,sublocality,title,type,water_added,wifi_cable,wifi_internet,yard
5.0,Kijiji User,0,1,1.0,3.0,0,0,0,0,0,45.4203471,0,0,"H8R2Z6, Canada",-73.643118,01-Jul-22,0,0,0,H8R 2Z6,1500.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/51-2-for-rent/1620304676,1000,1,0,Lasalle,51/2 for rent!,Duplex/Triplex,1,0,0,1
4.0,Kijiji User,0,1,1.0,1.0,0,0,0,1,1,45.4842891,1,0,"5220 Queen Mary Road, Montreal, QC",-73.6282729,12-Jun-22,0,0,0,H3W 1X5,900.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bedroom-apt-2-1-2/1621050447,350,1,0,Côte-Des-Neiges—Notre-Dame-De-Grâce,1 Bedroom Apt.  (2 1/2),Apartment,1,0,0,0
7.0,Kijiji User,1,0,1.0,1.0,1,1,0,1,1,45.5045759,0,1,"1090 Rue de Bleury, Montréal, QC",-73.5636562,01-Aug-22,0,0,0,H2Z 1N2,1930.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-1-2-centre-ville-cession-de-bail-tout-inclus/1620035014,750,0,0,Ville-Marie,Grand 3 1/2 - Centre-Ville - Cession de bail - Tout inclus,Condo,1,0,1,0
7.0,Atria Immobilier,0,1,1.0,2.0,0,1,0,1,0,45.5597716,1,0,"Montréal, QC H1X 2J2",-73.57572549999999,01-Feb-22,0,0,0,H1X 2J2,1050.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-chauffe-nouvelle-fenestration-renove-rosemont/1599876885,600,1,0,Rosemont-La Petite-Patrie,"*** 4 1/2 CHAUFFÉ, NOUVELLE FENESTRATION, RÉNOVÉ - ROSEMONT ***",Apartment,1,0,0,1
5.0,Francis,0,1,1.0,2.0,0,0,0,0,0,45.5314953,0,0,"2330 Rue Parthenais, Montréal, QC",-73.560887,01-Aug-22,0,0,0,H2K 3T5,1300.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-renove-metro-frontenac-a-louer-ville-marie-montreal/1620806352,725,0,0,Ville-Marie,4½ Rénové Métro Frontenac à louer Ville-Marie Montréal,Apartment,0,0,0,0
9.0,2692 Châteauguay,1,1,1.0,2.0,1,1,0,0,0,45.477245,0,1,"2692 Châteauguay, Montreal, QC, H3K 1L4",-73.569661,01-May-22,0,0,0,H3K 1L4,1795.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/magnifiques-4-1-2-renoves-avec-electromenagers-terrasse-et-wifi/1614122583,850,0,0,Le Sud-Ouest,"Magnifiques 4 1/2 rénovés avec électroménagers, terrasse et WiFi",Apartment,0,0,1,0
5.0,andrew,1,1,1.0,2.0,0,0,0,0,0,45.5020389,0,0,"7471 Ostell Crescent, Montréal, QC",-73.6470902,01-Jul-22,0,0,0,H4P 1Y7,1525.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/style-condo-renove-balcons-cote-des-neiges/1620540705,1200,0,0,,"STYLE CONDO, RENOVE, BALCONS, COTE-DES-NEIGES",Apartment,0,0,0,0
8.0,Cedar-Appartement Urbain,1,1,1.0,2.0,1,1,0,0,0,45.4960246,0,1,"1724 cedar, montreal, QC, H3G 1A4",-73.59038240000001,01-Jul-22,0,0,0,H3G 1A4,1695.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-for-to-rent-downtown-montreal-41-2-2-bedrooms-promotio/1601491431,820,0,0,Ville-Marie,"Apartment for,to,rent,downtown,Montreal,41/2,2,bedrooms,promotio",Apartment,1,0,0,0
7.0,Kijiji User,1,1,1.0,2.5,1,1,1,1,1,45.5282961,0,1,"Montréal, QC H2J 3E5",-73.581394,01-Jul-22,0,0,0,H2J 3E5,2300.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-appartement-plateau-mt-royal-tout-inclus/1620799775,1200,1,0,Le Plateau-Mont-Royal,"Superbe appartement, Plateau Mt Royal, tout inclus",Condo,1,1,1,0
5.0,Kijiji User,0,1,1.0,2.0,0,0,0,0,0,45.444863,0,0,"Avenue Windsor, Lachine, QC",-73.6543891,15-Jun-22,0,0,0,H8R 1P8,925.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-lumineux-a-louer-maintenant-a-lachine/1620716267,920,0,0,Lachine,4 1/2 lumineux à louer maintenant à Lachine,Apartment,0,0,0,0
7.0,Kijiji User,0,1,1.0,2.0,1,1,0,1,0,45.5295284,0,1,"Montreal, QC H2J 4B7",-73.5943861,30-Jun-22,0,0,0,H2J 4B7,1760.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-2-bedrooms-1-bath-in-mont-royal/1619950226,840,1,0,Le Plateau-Mont-Royal,Condo 2 bedrooms 1 bath in Mont-Royal,Condo,1,0,0,0
,Marcos,0,0,1.0,1.0,0,0,0,0,0,45.5713709,0,0,"24e Avenue, Montréal, QC",-73.5991569,01-Jul-22,0,0,0,,850.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-1-2-a-louer-6877-24-ieme-avenue-montreal-850-mois-dis/1621237532,1,1,0,,Grand 3 1/2 a louer 6877 24 ieme avenue  Montréal 850$/mois. Dis,Apartment,0,0,0,0
13.0,Myriade,1,1,2.0,2.0,1,1,0,1,1,45.510229,0,1,"1445 rue Clark, Montreal, QC, H2X 2R1",-73.5652867,01-Sep-22,0,0,0,H2X 0C4,3195.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/penthouse-condo-locatif-luxe-4-1-2-quartier-des-spectacles/1611757683,1012,0,0,Ville-Marie,"Penthouse condo locatif LUXE 4 1/2, Quartier des spectacles",Condo,1,0,0,0
5.0,Isabelle Picard,0,1,1.0,3.0,1,1,0,0,0,45.57044519999999,0,1,"Montréal, QC H1T 2Y6",-73.5705839,24-Jul-22,1,0,0,H1T 2Y6,1500.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-et-demi-a-louer-rosemont-3-chambres-fermees-non-meuble/1620897627,900,0,0,Rosemont—La Petite-Patrie,"5 et demi à louer Rosemont (3 chambres fermées, non-meublé)",Apartment,0,0,0,0
,1587 Rue Cartier,0,1,1.0,3.0,1,1,0,0,0,45.52429799999999,1,1,"1587 Rue Cartier, Montréal, QC, H2K 4E1",-73.5536403,11-Jun-22,0,0,0,H2K 4E1,1690.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/ville-marie-superbe-5-1-2-renove-au-3e-etage-metro-papineau/1620921900,1000,1,0,Ville-Marie,Ville-Marie - Superbe 5 1/2 Rénové au 3e Étage - Métro Papineau,Apartment,1,0,0,0
,Kijiji User,1,0,1.0,1.0,1,1,1,1,1,45.510036,0,1,"329 Notre-Dame Street East, Montréal, QC",-73.5528242,06-Jun-22,1,0,0,H2Y 3C5,1950.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-mois-gratuit-prestigieux-3-1-2-a-louer/1609682104,700,0,0,Ville-Marie,1 mois gratuit - Prestigieux 3 1/2 à louer,Condo,1,0,0,1
7.0,Marisha,1,1,1.0,2.0,0,0,0,0,0,45.6440451,0,0,"Pointe-aux-Trembles, QC H1A 1Y5",-73.50144209999999,01-Jul-22,0,0,0,H1B 1Y5,1350.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-4-1-2-a-louer-p-a-t/1610620540,1,0,0,Riviere-des-Prairies—Pointe-aux-Trembles,Beau 4 1/2 à louer P-A-T,Apartment,0,0,0,0
7.0,Kijiji User,0,1,1.0,3.0,0,0,0,0,0,45.490034,0,1,"595 Richmond Street, Montreal, QC",-73.5694524,01-Jul-22,1,0,0,H3J 1V4,2400.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/bright-and-spacious-3-bedroom-condo-little-burgundy/1621133804,1000,0,0,Le Sud-Ouest,Bright and spacious 3 bedroom condo- Little Burgundy,Condo,0,0,0,0
,Batisseurs Meemo,0,1,1.0,2.0,0,0,0,1,0,45.6163857,0,0,"Avenue Jubinville, Montréal-Nord, QC",-73.6194556,01-Jul-22,0,0,0,H1G,850.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer/1620951701,750,1,0,Montréal-Nord,APPARTEMENT A  LOUER,Duplex/Triplex,1,0,0,0
,Humaniti Montreal,1,1,1.0,2.0,1,1,0,1,1,45.5039787,0,1,"1020 de Bleury street, Montreal, QC, H3A 2H7",-73.5623286,29-Dec-20,0,0,0,H2Z 0B9,2905.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/humaniti-montreal-2-bedroom-apartment-for-rent/1512140688,818,0,0,Ville-Marie,Humaniti Montreal - 2 Bedroom Apartment for Rent,Apartment,1,0,1,0
,Appartements Clanranald,1,0,1.0,2.0,0,0,0,1,0,45.4811039,0,0,"5051 avenue Clanranald, Montreal, QC, H3X 2S2",-73.6304021,31-Aug-22,0,0,0,H3X 2S3,1749.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartements-clanranald:-apartment-for-rent-in-hampstead-montr/1611920409,800,0,0,Côte-Des-Neiges—Notre-Dame-De-Grâce,Appartements Clanranald: Apartment for rent in Hampstead - Montr,Apartment,1,0,0,0
7.0,Valeria,1,1,1.0,2.5,1,1,0,1,1,45.4947649,0,1,"Mount Royal, QC H4P",-73.6572848,16-Jul-22,0,0,0,H4P,1760.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-bedroom-4-1-2-sublease-in-july-metro-namur/1619675479,744,0,0,,2 bedroom ( 4 1.2)  - SUBLEASE in July - metro Namur,Apartment,1,1,0,0
7.0,Romain,1,1,1.0,4.0,1,1,0,0,0,45.5363623,0,1,"3427 Rue D'Iberville, Montréal, QC",-73.56208099999999,01-Sep-22,1,0,0,H2K 3E3,1900.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-appartement-3e-3-chambres-plateau-est-tres-ensoleille/1621010946,1075,1,0,Le Plateau-Mont-Royal,"Grand appartement, 3e, 3 chambres, Plateau Est, très ensoleillé",Apartment,0,0,0,0
6.0,Kijiji User,1,1,1.0,0.0,1,1,0,0,0,45.5581501,0,1,"Montreal, QC H2A 1C9",-73.60738599999999,01-Jul-22,0,0,0,H2A 1C9,1500.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/petite-italie-7160-rue-st-laurent-large-studio-electro-inc/1616335057,600,0,0,Villeray—Saint-Michel—Parc-Extension,**Petite-Italie*7160 Rue St-Laurent * Large Studio **Electro inc,Condo,0,0,0,0
7.0,Gabriel,1,0,1.0,4.5,0,0,0,1,1,45.6019557,0,1,"Montréal, QC H1L 5G3",-73.5305624,01-Jul-22,2,0,0,H1L 5G3,2500.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/maison-7-1-2-a-louer-hydro-inclus/1619338403,875,0,0,Mercier-Hochelaga-Maisonneuve,Maison 7 1/2 à louer ***HYDRO INCLUS***,House,1,0,0,1
7.0,Brian,0,1,1.0,2.0,0,0,0,0,0,45.5329431,0,1,"Place de l'Acadie, Montreal, QC",-73.6800695,13-Jun-22,1,0,0,H4N,1850.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/new-on-market-condo-rent-montreal-with-parking-appliances/1621097635,1000,0,0,Ahuntsic-Cartierville,**NEW ON MARKET CONDO RENT MONTREAL WITH PARKING & APPLIANCES**,Condo,0,0,0,0
,Sas B,0,1,1.0,2.5,0,1,0,0,0,45.4599402,0,1,"Verdun, QC H4G 2V1",-73.5776376,01-Jul-22,0,0,0,H4G 2V1,1150.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-4-1-2-a-louer/1620508370,800,1,0,Verdun,Appartement 4 1/2 à louer,Apartment,0,0,0,0
7.0,Geovany,0,1,1.0,2.0,1,1,0,0,0,45.53404219999999,1,0,"6583 Rue Drolet, Montreal, QC",-73.60712810000001,01-Aug-22,1,0,0,H2S 2S9,1300.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/pre-metro-beaubien-est-4-1-2-rue-drolet/1621183053,760,0,0,Rosemont—La Petite-Patrie,PRE METRO BEAUBIEN EST 4 1/2 RUE DROLET,Apartment,0,0,0,0
7.0,Kijiji User,1,1,1.0,2.0,1,1,1,0,0,45.4937104,0,1,"195 Rue Peel, Montréal, QC H3C 2G6, Canada",-73.5580172,11-Jun-22,1,0,0,H3C 2G6,1850.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/griffintown-exalto-condo-two-bedrooms-for-rent/1620944538,674,0,0,Le Sud-Ouest,Griffintown exalto condo two bedrooms for rent,Condo,1,0,0,0
9.0,Le Petit Laurent,1,0,1.0,0.0,1,1,0,1,1,45.5106542,1,1,"1593 rue Clark, Montréal, QC, H2X 2T1",-73.5665731,01-Sep-22,0,0,0,H2X 2T1,1090.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-tout-inclus-all-included-studio-downtown-montreal/1613949147,400,0,0,Ville-Marie,Studio tout inclus / All included Studio - Downtown Montreal,Apartment,1,0,1,0
,PH 2 - 6,0,1,1.0,1.0,0,1,0,1,0,45.4559058,1,0,"520 rue de Gaspé, Verdun, QC, H3E 1G1",-73.5484915,01-Oct-22,0,0,0,H3E 1G1,1399.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-a-louer-iles-des-soeurs-nuns-island-520-rue-de-gaspe-pri/1605145256,750,0,1,Verdun,3.5 à louer Iles des Soeurs/Nun's Island - 520 rue de Gaspé *Pri,Apartment,1,0,0,0
6.0,Kijiji User,1,1,1.0,2.0,1,1,0,0,0,45.4283166,1,1,"H8P 2N7, Canada",-73.5972099,15-Jun-22,3,0,0,H8P 2N7,1400.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-41-2-is-getting-finalized-available-from-june-20/1620982145,700,0,0,Lasalle,Apartment 41/2 is getting finalized  Available from June 20,Condo,0,0,0,0
7.0,Marie-Hélène,0,1,1.0,2.0,1,0,0,0,0,45.5261769,0,1,"Montréal, QC H2T 2E5",-73.5921719,06-Aug-22,1,0,0,H2T 2E5,1800.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-a-louer-4-1-2-avec-garage-plateau-mont-royal/1620649926,865,0,0,Le Plateau-Mont-Royal,Condo à louer 4 1/2 avec garage Plateau Mont-Royal,Condo,1,0,0,0
,La Tour Hampstead,1,0,2.0,2.0,1,0,0,1,0,45.4820663,0,1,"5120 avenue Earnscliffe, Montreal, QC, H3X 1V4",-73.6312488,01-Jul-22,0,0,0,H3X 2P6,1949.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/la-tour-hampstead:-apartment-for-rent-in-hampstead/1601962500,1091,0,0,Côte-Des-Neiges—Notre-Dame-De-Grâce,La Tour Hampstead: Apartment for rent in Hampstead,Apartment,1,0,0,0
,Kijiji User,0,1,1.0,2.0,0,0,0,0,0,45.6009008,0,0,"H1P 2Y4, Canada",-73.6015123,01-Jul-22,0,0,0,H1P 2Y4,1000.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/logement-a-louer/1619700150,1000,1,0,Saint-Leonard,Wanted: Logement à louer,Duplex/Triplex,0,0,0,0
6.0,Kelly dessources,0,1,1.0,3.0,0,0,0,0,0,45.6203578,0,0,"Av. Allard, Montréal-Nord, QC H1G 6B5",-73.6169358,01-Jul-22,1,0,0,H1G 6B5,1350.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/tres-grand-5-1-2-a-louer-dans-montreal-nord/1619497579,1500,0,0,Montréal-Nord,TRÈS GRAND 5 1/2 à louer dans Montreal-Nord,Apartment,1,0,0,1
3.0,Aguibou Diallo,1,0,1.0,1.0,0,1,1,1,1,45.5174491,1,0,"4555 Av du Parc, Montréal, QC H2V 4E4, Canada",-73.5902294,01-Jul-22,1,0,0,H2V 4E4,1120.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/cession-de-bail-plateau-mont-royal-3-2-tout-inclus/1619541547,1,1,0,Le Plateau-Mont-Royal,Cession de bail – Plateau mont royal 3/2 (tout inclus),Apartment,1,0,1,0
2.0,Kijiji User,0,1,1.0,1.0,0,0,0,1,0,45.5613881,0,0,"17e Avenue, Montréal, QC",-73.5904363,13-Jun-22,0,0,0,,950.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-completement-renove-quartier-rosemont/1619810335,400,0,0,,3 1/2 completement rénové quartier Rosemont,Apartment,1,0,0,0
7.0,Kijiji User,0,1,1.0,1.0,1,1,0,1,0,45.459355,1,0,"5485 Avenue Westminster, Côte Saint-Luc, QC",-73.66139969999999,01-Jun-22,0,0,0,H4X 2A4,1000.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/spacious-1-bedroom-apartments-in-cote-saint-luc-montreal/1619532938,650,0,0,,Spacious 1 Bedroom Apartments in Cote-Saint-Luc Montreal,Apartment,1,0,0,0
3.0,Frederick Truchon Gagnon,0,1,1.0,3.0,1,1,0,0,0,45.5365578,0,1,"Montreal, QC H2H 2C9",-73.5737996,01-Jul-22,0,0,0,H2H 2C9,1895.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-5-1-2-plateau-mont-royal-renove-par-designer/1619201713,900,0,0,Le Plateau-Mont-Royal,Appartement 5 1/2 - Plateau Mont-Royal rénové par designer,Apartment,1,0,0,0
5.0,Paola,0,1,1.0,2.0,0,1,0,0,0,45.4556876,0,1,"Verdun, QC H4G 3A2",-73.56979539999999,15-Jun-22,1,0,0,H4G 3A2,1450.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-bdr-parking-verdun-apto-lease-transfer-pet-friendly/1614376351,1000,0,1,Verdun,2 bdr + parking  VERDUN apto - LEASE TRANSFER - PET FRIENDLY,Apartment,1,0,0,1
7.0,Nana,0,1,1.0,2.0,0,0,0,0,0,45.5887935,0,1,"529 Rue Honoré-Beaugrand, Montréal, QC H1L 5X1, Canada",-73.50945200000001,06-Jun-22,1,0,0,H1L 5X1,1200.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-stat-inclus-animaux-autorises-avec-conditions/1620183301,50,0,0,Mercier-Hochelaga-Maisonneuve,4-1/2 - stat. inclus - animaux autorisés avec conditions,Apartment,0,0,0,0
3.0,Le Colisée,1,0,1.0,0.0,0,0,0,1,1,45.5097973,0,0,"235 rue Sherbrooke Ouest, Montreal, QC, H2X 1X7",-73.57098189999999,,0,0,0,H2X 1X7,1199.0,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/le-colisee:-apartment-for-rent-in-downtown-montreal/1505787623,364,0,0,Le Plateau-Mont-Royal,Le Colisée: Apartment for rent in Downtown Montreal,Apartment,1,0,0,0
